id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,wine colour
0,6.5,0.27,0.19,6.6,0.045,98,175,0.99364,3.16,0.34,10.1,6,1
1,8,0.39,0.3,1.9,0.074,32,84,0.99717,3.39,0.61,9,5,0
2,8.2,0.56,0.23,3.4,0.078,14,104,0.9976,3.28,0.62,9.4,5,0
3,8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,4,0
4,6.4,0.4,0.19,3.2,0.033,28,124,0.9904,3.22,0.54,12.7,7,1
5,6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,5,1
6,6.8,0.19,0.33,1.3,0.031,22,87,0.98987,3.08,0.62,12.3,7,1
7,6.2,0.36,0.38,3.2,0.031,20,89,0.98956,3.06,0.33,12,7,1
8,6.4,0.34,0.2,14.9,0.06,37,162,0.9983,3.13,0.45,9,4,1
9,7.6,0.29,0.42,1.3,0.035,18,86,0.9908,2.99,0.39,11.3,5,1
10,7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,5,0
11,7.4,0.105,0.34,12.2,0.05,57,146,0.9973,3.16,0.37,9,6,1
12,7.4,0.22,0.26,8.8,0.027,23,112,0.9931,2.98,0.41,11.4,6,1
13,7.4,0.36,0.29,2.6,0.087,26,72,0.99645,3.39,0.68,11,5,0
14,11.5,0.41,0.52,3,0.08,29,55,1.0001,3.26,0.88,11,5,0
15,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7,1
16,6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,5,1
17,7,0.3,0.38,14.9,0.032,60,181,0.9983,3.18,0.61,9.3,7,1
18,6.9,0.25,0.24,3.6,0.057,13,85,0.9942,2.99,0.48,9.5,4,1
19,6.2,0.3,0.26,13.4,0.046,57,206,0.99775,3.17,0.43,9.5,6,1
20,9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,6,0
21,7.7,0.25,0.3,7.8,0.038,67,196,0.99555,3.1,0.5,10.1,5,1
22,6.3,0.28,0.22,11.5,0.036,27,150,0.99445,3,0.33,10.6,6,1
23,7,0.24,0.35,1.5,0.052,51,128,0.9941,3.41,0.59,10.4,7,1
24,7.5,0.21,0.29,1.5,0.046,35,107,0.99123,3.15,0.45,11.3,6,1
